word1,word2,MEN,cos
sun,sunlight,50.0,0.5418569445610046
automobile,car,50.0,0.4567107558250427
river,water,49.0,0.44753021001815796
stairs,staircase,49.0,0.4835190773010254
morning,sunrise,49.0,0.5318617820739746
rain,storm,49.0,0.6677465438842773
cat,kittens,49.0,0.5562623739242554
dance,dancers,49.0,0.586391270160675
camera,photography,49.0,0.5125644207000732
cat,feline,48.0,0.46631354093551636
sunny,sunshine,48.0,0.5750012397766113
pregnancy,pregnant,48.0,0.6638324856758118
beach,sand,48.0,0.5873249173164368
bakery,bread,48.0,0.5352639555931091
flowers,garden,48.0,0.5778396725654602
grass,lawn,48.0,0.6150848865509033
copper,metal,48.0,0.4732036292552948
photos,photography,47.0,0.5827794075012207
cemetery,graveyard,47.0,0.4623824656009674
gravestone,graveyard,47.0,0.19542333483695984
sun,sunshine,47.0,0.6331672072410583
black,dark,47.0,0.7064464688301086
cathedral,church,47.0,0.5515193343162537
frozen,ice,47.0,0.6576612591743469
station,subway,47.0,0.5345525145530701
children,kids,46.0,0.8246327042579651
aquarium,fish,46.0,0.4660681486129761
light,lighting,46.0,0.6075478196144104
fungi,mushrooms,46.0,0.32963892817497253
frost,snow,46.0,0.5554206371307373
burn,flame,46.0,0.5298010110855103
ocean,sea,46.0,0.4415769875049591
candy,chocolate,46.0,0.6326138377189636
car,vehicle,46.0,0.6674410104751587
concert,music,46.0,0.584017276763916
photos,picture,46.0,0.7128211855888367
grapes,wine,46.0,0.4321709871292114
bath,bathroom,46.0,0.6133727431297302
buds,flowers,46.0,0.3736606240272522
cat,kitty,46.0,0.7504456639289856
ocean,water,46.0,0.5990884304046631
aircraft,airplane,46.0,0.5444517135620117
butterfly,caterpillars,46.0,0.3042474687099457
hair,wig,46.0,0.648201048374176
blossom,buds,46.0,0.2587752938270569
highway,road,46.0,0.7024579644203186
bunny,rabbit,46.0,0.705544650554657
bread,sandwich,46.0,0.6695607304573059
mist,misty,46.0,0.25462427735328674
flowers,petals,46.0,0.5508015751838684
airplane,flight,46.0,0.5692869424819946
fish,fishing,46.0,0.585827112197876
ice,snow,46.0,0.6553232669830322
bright,sun,45.0,0.616464376449585
shade,tree,45.0,0.4859755337238312
bicycle,bike,45.0,0.7487888932228088
truck,vehicle,45.0,0.6688477396965027
shore,water,45.0,0.3602815568447113
boat,fishing,45.0,0.6093657612800598
dog,puppy,45.0,0.7890409827232361
bride,wedding,45.0,0.6778723001480103
birds,hummingbird,45.0,0.2765699326992035
sea,water,45.0,0.40408453345298767
cow,milk,45.0,0.5385984182357788
birds,feathers,45.0,0.4598275125026703
skate,skating,45.0,0.6192863583564758
chapel,church,45.0,0.5926250219345093
branch,twigs,45.0,0.22340913116931915
concert,musicians,45.0,0.31429052352905273
clothes,dress,45.0,0.6502223014831543
automobile,vehicle,45.0,0.48816025257110596
splash,swimming,45.0,0.4399213194847107
bed,furniture,45.0,0.4377838969230652
aircraft,flight,45.0,0.5345796942710876
reptiles,snake,45.0,0.2674655020236969
motorcycle,scooter,45.0,0.4554096758365631
coffee,tea,45.0,0.7670060396194458
feathers,goose,45.0,0.41922053694725037
pool,swimming,45.0,0.7420356869697571
eyes,face,45.0,0.6123166084289551
dirt,dirty,45.0,0.6054232120513916
railway,train,45.0,0.383517861366272
harbour,port,45.0,0.444597989320755
fruit,strawberry,45.0,0.6192197799682617
flight,plane,45.0,0.7791820168495178
smoke,smoking,45.0,0.7949976325035095
ivy,plant,45.0,0.2270592898130417
