word1,word2,SimLex,cos
old,new,1.58,0.22278031706809998
smart,intelligent,9.2,0.6495277881622314
hard,difficult,8.77,0.60257488489151
happy,cheerful,9.55,0.3837738037109375
hard,easy,0.95,0.4709632098674774
fast,rapid,8.75,0.47668296098709106
happy,glad,9.17,0.7408890724182129
short,long,1.23,0.57684326171875
stupid,dumb,9.58,0.8173139095306396
weird,strange,8.93,0.8164579272270203
wide,narrow,1.03,0.45760995149612427
bad,awful,8.42,0.5527253150939941
easy,difficult,0.58,0.5890915393829346
bad,terrible,7.78,0.6828612089157104
hard,simple,1.38,0.25914517045021057
smart,dumb,0.55,0.5792695879936218
insane,crazy,9.57,0.7339043617248535
happy,mad,0.95,0.39202871918678284
large,huge,9.47,0.658916711807251
hard,tough,8.05,0.6342881917953491
new,fresh,6.83,0.44456037878990173
sharp,dull,0.6,0.3003644645214081
quick,rapid,9.7,0.49779075384140015
dumb,foolish,6.67,0.6149927377700806
wonderful,terrific,8.63,0.7420832514762878
strange,odd,9.02,0.7307426929473877
happy,angry,1.28,0.3749322295188904
narrow,broad,1.18,0.4575769007205963
simple,easy,9.4,0.5990299582481384
old,fresh,0.87,0.14221620559692383
apparent,obvious,8.47,0.7072033286094666
inexpensive,cheap,8.72,0.7009894847869873
nice,generous,5.0,0.3340648114681244
weird,normal,0.72,0.27713361382484436
weird,odd,9.2,0.6381518244743347
bad,immoral,7.62,0.3252667784690857
sad,funny,0.95,0.487978458404541
wonderful,great,8.05,0.764786958694458
guilty,ashamed,6.38,0.40270841121673584
beautiful,wonderful,6.5,0.6854086518287659
confident,sure,8.27,0.47928106784820557
dumb,dense,7.27,0.14984528720378876
large,big,9.55,0.5561478734016418
nice,cruel,0.67,0.16044314205646515
impatient,anxious,6.03,0.6138772368431091
big,broad,6.73,0.20230790972709656
strong,proud,3.17,0.294599711894989
unnecessary,necessary,0.63,0.42774179577827454
restless,young,1.6,0.311009019613266
dumb,intelligent,0.75,0.407940149307251
bad,great,0.35,0.3928764760494232
difficult,simple,0.87,0.3057108223438263
necessary,important,7.37,0.41149306297302246
bad,terrific,0.65,0.3810957372188568
mad,glad,1.45,0.3335675597190857
honest,guilty,1.18,0.2091313898563385
easy,tough,0.52,0.45547154545783997
easy,flexible,4.1,0.30881842970848083
certain,sure,8.42,0.33942583203315735
essential,necessary,8.97,0.6254825592041016
different,normal,1.08,0.3051433265209198
sly,clever,7.25,0.5969480276107788
crucial,important,8.82,0.7076315879821777
harsh,cruel,8.18,0.533785879611969
childish,foolish,5.5,0.5438280701637268
scarce,rare,9.17,0.3238379657268524
friendly,generous,5.9,0.3527021110057831
fragile,frigid,2.38,0.19100172817707062
long,narrow,3.57,0.3143264055252075
big,heavy,6.18,0.34096604585647583
rough,frigid,2.47,0.30319735407829285
bizarre,strange,9.37,0.7378588914871216
illegal,immoral,4.28,0.5182056427001953
bad,guilty,4.2,0.21427728235721588
modern,ancient,0.73,0.4891660809516907
new,ancient,0.23,0.1656586229801178
dull,funny,0.55,0.43044716119766235
happy,young,2.0,0.20332582294940948
easy,big,1.12,0.30177682638168335
great,awful,1.17,0.4325047433376312
tiny,huge,0.6,0.37621212005615234
polite,proper,7.63,0.21251280605793
modest,ashamed,2.65,0.1019931510090828
exotic,rare,8.05,0.29680535197257996
dumb,clever,1.17,0.47599494457244873
delightful,wonderful,8.65,0.6574995517730713
noticeable,obvious,8.48,0.5354875922203064
afraid,anxious,5.07,0.5014467239379883
formal,proper,8.02,0.40531811118125916
dreary,dull,8.25,0.6733353137969971
delightful,cheerful,6.58,0.45284831523895264
unhappy,mad,5.95,0.396945983171463
sad,terrible,5.4,0.5545867085456848
sick,crazy,3.57,0.3580978810787201
violent,angry,6.98,0.39992448687553406
laden,heavy,5.9,0.41551193594932556
dirty,cheap,1.6,0.3767926096916199
elastic,flexible,7.78,0.4524265229701996
hard,dense,5.9,0.17870590090751648
recent,new,7.05,0.19198280572891235
bold,proud,3.97,0.1886073350906372
sly,strange,1.97,0.27603593468666077
strange,sly,2.07,0.27603593468666077
dumb,rare,0.48,0.15440773963928223
sly,tough,0.58,0.16194979846477509
terrific,mad,0.4,0.25442203879356384
modest,flexible,0.98,0.17092838883399963
fresh,wide,0.4,0.15786446630954742
huge,dumb,0.48,0.16726785898208618
large,flexible,0.48,0.19201461970806122
dirty,narrow,0.3,0.11327726393938065
wife,husband,2.3,0.8294166326522827
book,text,6.35,0.2838408946990967
groom,bride,3.17,0.6758210062980652
night,day,1.88,0.5070008635520935
south,north,2.2,0.9674535393714905
plane,airport,3.65,0.5316954851150513
uncle,aunt,5.5,0.7643474340438843
horse,mare,8.33,0.6621960997581482
bottom,top,0.7,0.45982471108436584
friend,buddy,8.78,0.6972495317459106
student,pupil,9.35,0.5123260021209717
world,globe,6.67,0.6945997476577759
leg,arm,2.88,0.5505545735359192
plane,jet,8.1,0.7661097049713135
woman,man,3.33,0.7664012312889099
horse,colt,7.07,0.6765697002410889
actress,actor,7.12,0.7930008769035339
teacher,instructor,9.25,0.5253284573554993
movie,film,8.87,0.8676770925521851
bird,hawk,7.85,0.4277547001838684
word,dictionary,3.68,0.45018714666366577
money,salary,7.88,0.2558066248893738
dog,cat,1.75,0.760945737361908
area,region,9.47,0.568541944026947
navy,army,6.43,0.5964687466621399
book,literature,7.53,0.4706288278102875
clothes,closet,3.27,0.4177303612232208
sunset,sunrise,2.47,0.6612357497215271
child,adult,2.98,0.4675453305244446
cow,cattle,9.52,0.631946325302124
book,story,5.63,0.34503594040870667
winter,summer,2.38,0.715552031993866
taxi,cab,9.2,0.7510558366775513
tree,maple,5.53,0.3740568161010742
bed,bedroom,3.4,0.5246400237083435
roof,ceiling,7.58,0.5099495053291321
disease,infection,7.15,0.6768242716789246
arm,shoulder,4.85,0.5259954333305359
sheep,lamb,8.42,0.6539289355278015
lady,gentleman,3.42,0.5127372741699219
boat,anchor,2.25,0.17387624084949493
priest,monk,6.28,0.6334267854690552
toe,finger,4.68,0.43513497710227966
river,stream,7.3,0.4049793481826782
anger,fury,8.73,0.73593670129776
date,calendar,4.42,0.43770256638526917
sea,ocean,8.27,0.7643541693687439
second,minute,4.62,0.25740641355514526
hand,thumb,3.88,0.4265793263912201
wood,log,7.3,0.24295105040073395
mud,dirt,7.32,0.5805711150169373
hallway,corridor,9.28,0.321859210729599
way,manner,7.62,0.46076732873916626
mouse,cat,1.12,0.46566277742385864
cop,sheriff,9.05,0.33244234323501587
death,burial,4.93,0.36950382590293884
music,melody,6.98,0.5026150941848755
beer,alcohol,7.5,0.47345292568206787
mouth,lip,7.1,0.3768194019794464
storm,hurricane,6.38,0.7321895360946655
tax,income,2.38,0.5878002643585205
flower,violet,6.95,0.5068390369415283
paper,cardboard,5.38,0.477155864238739
floor,ceiling,1.73,0.4387610852718353
beach,seashore,8.33,0.6896328926086426
rod,curtain,3.03,0.1744871288537979
hound,fox,2.38,0.4122697710990906
street,alley,5.48,0.6081667542457581
boat,deck,4.28,0.35960882902145386
car,horn,2.57,0.15437349677085876
friend,guest,4.25,0.21530920267105103
employer,employee,3.65,0.6551854610443115
hand,wrist,3.97,0.3981747031211853
ball,cannon,2.58,0.25554898381233215
alcohol,brandy,6.98,0.3313637375831604
victory,triumph,8.98,0.8288328051567078
telephone,booth,3.63,0.18720005452632904
door,doorway,5.4,0.5805533528327942
motel,inn,8.17,0.5386841297149658
clothes,cloth,5.47,0.4613853693008423
steak,meat,7.47,0.5724613070487976
nail,thumb,3.55,0.2309870719909668
band,orchestra,7.08,0.5031322240829468
book,bible,5.0,0.438676118850708
business,industry,7.02,0.4992186427116394
winter,season,6.27,0.47219106554985046
decade,century,3.48,0.6030654311180115
alcohol,gin,8.65,0.31333327293395996
hat,coat,2.67,0.43668535351753235
window,door,3.33,0.6212795376777649
arm,wrist,3.57,0.5031680464744568
house,apartment,5.8,0.6628996729850769
glass,crystal,6.27,0.41199108958244324
wine,brandy,5.15,0.6008034348487854
creator,maker,9.62,0.260505735874176
dinner,breakfast,3.33,0.7007027864456177
arm,muscle,3.72,0.3889564871788025
bubble,suds,8.57,0.10783213376998901
bread,flour,3.33,0.6152125000953674
death,tragedy,5.8,0.39171847701072693
absence,presence,0.4,0.364205539226532
gun,cannon,5.68,0.3959748446941376
grass,blade,4.57,0.36569854617118835
ball,basket,1.67,0.38625848293304443
hose,garden,1.67,0.23467253148555756
boy,kid,7.5,0.6322843432426453
church,choir,2.95,0.5191698670387268
clothes,drawer,3.02,0.2380484938621521
tower,bell,1.9,0.2725113332271576
father,parent,7.07,0.25690269470214844
school,grade,4.42,0.453840970993042
parent,adult,5.37,0.3548777997493744
bar,jail,1.9,0.12951374053955078
car,highway,3.4,0.3387308418750763
dictionary,definition,6.25,0.27830129861831665
door,cellar,1.97,0.3038274347782135
army,legion,5.95,0.31562644243240356
metal,aluminum,7.25,0.6375762224197388
chair,bench,6.67,0.17189399898052216
cloud,fog,6.0,0.4210716187953949
boy,son,6.75,0.6337763667106628
water,ice,6.47,0.3523431718349457
bed,blanket,3.02,0.399697870016098
attorney,lawyer,9.35,0.8204511404037476
area,zone,8.33,0.43007367849349976
business,company,9.02,0.5192004442214966
clothes,fabric,5.87,0.3779182732105255
sweater,jacket,7.15,0.6227043271064758
money,capital,6.67,0.26371923089027405
hand,foot,4.17,0.22718480229377747
alcohol,cocktail,6.73,0.30149728059768677
yard,inch,3.78,0.2620833218097687
molecule,atom,6.45,0.5360568165779114
lens,camera,4.28,0.5480796694755554
