word1,word2,MEN,cos
sun,sunlight,50.0,0.7269681692123413
automobile,car,50.0,0.5838367938995361
river,water,49.0,0.5768983960151672
stairs,staircase,49.0,0.7613486647605896
morning,sunrise,49.0,0.41545626521110535
rain,storm,49.0,0.461102694272995
cat,kittens,49.0,0.6387113928794861
dance,dancers,49.0,0.7513905763626099
camera,photography,49.0,0.48832476139068604
cat,feline,48.0,0.7326235175132751
sunny,sunshine,48.0,0.7251086831092834
pregnancy,pregnant,48.0,0.7064821720123291
beach,sand,48.0,0.5205183625221252
bakery,bread,48.0,0.4647415280342102
flowers,garden,48.0,0.5496572256088257
grass,lawn,48.0,0.571917712688446
copper,metal,48.0,0.5716449022293091
photos,photography,47.0,0.5179370045661926
cemetery,graveyard,47.0,0.6424806118011475
gravestone,graveyard,47.0,0.3971409797668457
sun,sunshine,47.0,0.6767958998680115
black,dark,47.0,0.3987770974636078
cathedral,church,47.0,0.5828587412834167
frozen,ice,47.0,0.3411881625652313
station,subway,47.0,0.2801174223423004
children,kids,46.0,0.7439050078392029
aquarium,fish,46.0,0.43788254261016846
light,lighting,46.0,0.47981950640678406
fungi,mushrooms,46.0,0.5258973836898804
frost,snow,46.0,0.5462159514427185
burn,flame,46.0,0.3674095869064331
ocean,sea,46.0,0.7643541693687439
candy,chocolate,46.0,0.6375688910484314
car,vehicle,46.0,0.7821095585823059
concert,music,46.0,0.49820736050605774
photos,picture,46.0,0.569705605506897
grapes,wine,46.0,0.6497960686683655
bath,bathroom,46.0,0.525897741317749
buds,flowers,46.0,0.47759580612182617
cat,kitty,46.0,0.49377134442329407
ocean,water,46.0,0.4716910421848297
aircraft,airplane,46.0,0.7649642825126648
butterfly,caterpillars,46.0,0.37788277864456177
hair,wig,46.0,0.6122797727584839
blossom,buds,46.0,0.49960845708847046
highway,road,46.0,0.6972482800483704
bunny,rabbit,46.0,0.6440337300300598
bread,sandwich,46.0,0.4660063683986664
mist,misty,46.0,0.6282429695129395
flowers,petals,46.0,0.6021212339401245
airplane,flight,46.0,0.6286510229110718
fish,fishing,46.0,0.6397990584373474
ice,snow,46.0,0.5391556024551392
bright,sun,45.0,0.3259616494178772
shade,tree,45.0,0.3469637930393219
bicycle,bike,45.0,0.8521308302879333
truck,vehicle,45.0,0.7027071714401245
shore,water,45.0,0.26977288722991943
boat,fishing,45.0,0.49868640303611755
dog,puppy,45.0,0.8106428980827332
bride,wedding,45.0,0.7104349732398987
birds,hummingbird,45.0,0.565007746219635
sea,water,45.0,0.4450799524784088
cow,milk,45.0,0.4341348111629486
