,word1,word2,result,bert_cos
0,sun,sunlight,50.0,0.7947097420692444
1,automobile,car,50.0,0.7253627181053162
2,river,water,49.0,0.7196341753005981
3,stairs,staircase,49.0,0.6899458169937134
4,morning,sunrise,49.0,0.7567247152328491
5,rain,storm,49.0,0.7045163512229919
6,cat,kittens,49.0,0.44888827204704285
7,dance,dancers,49.0,0.8072530627250671
8,camera,photography,49.0,0.7464569211006165
9,cat,feline,48.0,0.3466777801513672
10,sunny,sunshine,48.0,0.8539508581161499
11,pregnancy,pregnant,48.0,0.7412048578262329
12,beach,sand,48.0,0.7320515513420105
13,bakery,bread,48.0,0.7997168898582458
14,flowers,garden,48.0,0.7871782779693604
15,grass,lawn,48.0,0.83135986328125
16,copper,metal,48.0,0.8531680107116699
17,photos,photography,47.0,0.7831484079360962
18,cemetery,graveyard,47.0,0.6579400300979614
19,gravestone,graveyard,47.0,0.21066279709339142
20,sun,sunshine,47.0,0.7931258082389832
21,black,dark,47.0,0.865948498249054
22,cathedral,church,47.0,0.683003842830658
23,frozen,ice,47.0,0.7386030554771423
24,station,subway,47.0,0.6405254006385803
25,children,kids,46.0,0.8425124883651733
26,aquarium,fish,46.0,0.6331580877304077
27,light,lighting,46.0,0.8667888045310974
28,fungi,mushrooms,46.0,0.7633458375930786
29,frost,snow,46.0,0.6889625787734985
30,burn,flame,46.0,0.823937177658081
31,ocean,sea,46.0,0.7668793201446533
32,candy,chocolate,46.0,0.8702901601791382
33,car,vehicle,46.0,0.8572545051574707
34,concert,music,46.0,0.6476354002952576
35,photos,picture,46.0,0.7455247640609741
36,grapes,wine,46.0,0.8542724251747131
37,bath,bathroom,46.0,0.8780636191368103
38,buds,flowers,46.0,0.7087831497192383
39,cat,kitty,46.0,0.8048248291015625
40,ocean,water,46.0,0.603129506111145
41,aircraft,airplane,46.0,0.7494822144508362
42,butterfly,caterpillars,46.0,0.2987579107284546
43,hair,wig,46.0,0.6312485337257385
44,blossom,buds,46.0,0.8461609482765198
45,highway,road,46.0,0.7955567836761475
46,bunny,rabbit,46.0,0.8932331204414368
47,bread,sandwich,46.0,0.8500993251800537
48,mist,misty,46.0,0.7842400670051575
49,flowers,petals,46.0,0.8174854516983032
50,airplane,flight,46.0,0.6564388275146484
51,fish,fishing,46.0,0.7827805280685425
52,ice,snow,46.0,0.7684016227722168
53,bright,sun,45.0,0.7488037943840027
54,shade,tree,45.0,0.6925364136695862
55,bicycle,bike,45.0,0.9370013475418091
56,truck,vehicle,45.0,0.8569774627685547
57,shore,water,45.0,0.703395664691925
58,boat,fishing,45.0,0.6325212121009827
59,dog,puppy,45.0,0.7802912592887878
60,bride,wedding,45.0,0.8196495175361633
61,birds,hummingbird,45.0,0.4756070375442505
62,sea,water,45.0,0.7700201272964478
63,cow,milk,45.0,0.8186280727386475
64,birds,feathers,45.0,0.7591007947921753
65,skate,skating,45.0,0.7819313406944275
66,chapel,church,45.0,0.7184016704559326
67,branch,twigs,45.0,0.7089264392852783
68,concert,musicians,45.0,0.530672550201416
69,clothes,dress,45.0,0.7431147694587708
70,automobile,vehicle,45.0,0.7963148951530457
71,splash,swimming,45.0,0.6327537298202515
72,bed,furniture,45.0,0.72981196641922
73,aircraft,flight,45.0,0.6727723479270935
74,reptiles,snake,45.0,0.6811224818229675
75,motorcycle,scooter,45.0,0.4017791152000427
76,coffee,tea,45.0,0.8757902979850769
77,feathers,goose,45.0,0.6803814172744751
78,pool,swimming,45.0,0.7650818228721619
79,eyes,face,45.0,0.7850418090820312
80,dirt,dirty,45.0,0.6364763975143433
81,railway,train,45.0,0.6269872188568115
82,harbour,port,45.0,0.7399720549583435
83,fruit,strawberry,45.0,0.7491540908813477
84,flight,plane,45.0,0.6834700703620911
85,smoke,smoking,45.0,0.8861698508262634
86,ivy,plant,45.0,0.49810418486595154
87,river,stream,45.0,0.8217492699623108
88,lake,water,45.0,0.729516863822937
89,kittens,kitty,45.0,0.2939046323299408
90,snow,snowman,45.0,0.5140172243118286
91,dog,terrier,45.0,0.3581826388835907
92,daffodils,flowers,45.0,0.37864622473716736
93,pond,water,45.0,0.6873763799667358
94,show,television,44.0,0.5449923276901245
95,handwriting,written,44.0,0.7111223936080933
96,flood,water,44.0,0.693800151348114
97,jazz,musicians,44.0,0.6587106585502625
98,eagle,feathers,44.0,0.7526805400848389
99,grapes,vine,44.0,0.8105719089508057
100,birds,hawk,44.0,0.682319164276123
101,clothes,outfit,44.0,0.7506745457649231
102,exhibition,museum,44.0,0.7506296634674072
103,hand,palm,44.0,0.8443679213523865
104,grave,graveyard,44.0,0.7698847651481628
105,berry,strawberry,44.0,0.7751343250274658
106,forest,oak,44.0,0.7374126315116882
107,crochet,knitting,44.0,0.4761689007282257
108,birds,eagle,44.0,0.7021836042404175
109,canine,puppy,44.0,0.8631287217140198
110,bar,cocktail,44.0,0.7372573018074036
111,bar,pub,44.0,0.5504159331321716
112,sunlight,sunshine,44.0,0.8928595781326294
113,apple,fruit,44.0,0.7315419912338257
114,sun,sunrise,44.0,0.7819812893867493
115,gymnastics,sports,44.0,0.7234804034233093
116,sailing,ship,44.0,0.6483098864555359
117,beach,sea,44.0,0.7458773255348206
118,game,hockey,44.0,0.6171237230300903
119,bed,pillow,44.0,0.797655463218689
120,daffodils,tulip,44.0,0.4835164248943329
121,flowers,plant,44.0,0.7448127865791321
122,fire,smoke,44.0,0.8302935361862183
123,canine,dog,44.0,0.7511378526687622
124,bracelet,jewelry,44.0,0.6896909475326538
125,feline,kitty,44.0,0.24219121038913727
126,architecture,building,44.0,0.7275588512420654
127,shop,shopping,44.0,0.8626314997673035
128,highway,traffic,44.0,0.7598943114280701
129,lizard,reptiles,44.0,0.6716562509536743
130,music,piano,44.0,0.6058395504951477
131,strawberry,sweet,44.0,0.7317396998405457
132,snow,winter,44.0,0.7933152914047241
133,autumn,spring,44.0,0.8528032302856445
134,bacon,meat,44.0,0.7011215090751648
135,raspberry,strawberry,44.0,0.27696555852890015
136,chipmunk,squirrel,44.0,0.23242220282554626
137,coast,harbor,44.0,0.6504449844360352
138,dress,skirt,44.0,0.8493804931640625
139,sun,sunny,44.0,0.7639015316963196
140,lily,tulip,44.0,0.2791597843170166
141,grave,gravestone,44.0,0.4237857162952423
142,bright,sunny,44.0,0.7864966988563538
143,dandelion,plant,44.0,0.24962763488292694
144,light,sunlight,44.0,0.8251767158508301
145,hill,mountain,43.0,0.7168754935264587
146,burger,food,43.0,0.7938764691352844
147,sea,shore,43.0,0.6968660950660706
148,feathers,peacock,43.0,0.7311189770698547
149,children,mother,43.0,0.5790747404098511
150,night,sunset,43.0,0.7026145458221436
151,orange,peel,43.0,0.7967484593391418
152,subway,train,43.0,0.7860144972801208
153,camera,lens,43.0,0.7885627150535583
154,daisy,petals,43.0,0.6707202196121216
155,aircraft,wing,43.0,0.7056521773338318
156,bloom,flowers,43.0,0.732923150062561
157,clothes,jacket,43.0,0.8215022683143616
158,dinner,restaurant,43.0,0.7606172561645508
159,swim,swimming,43.0,0.7893363833427429
160,cemetery,gravestone,43.0,0.545134425163269
161,cigarette,smoke,43.0,0.8207105398178101
162,shirt,skirt,43.0,0.795722246170044
163,baby,pregnant,43.0,0.5449822545051575
164,cherry,fruit,43.0,0.6766399145126343
165,beef,meat,43.0,0.8137481808662415
166,blossom,daffodils,43.0,0.2702155113220215
167,bloom,blossom,43.0,0.8916142582893372
168,maple,oak,43.0,0.7735927104949951
169,frost,winter,43.0,0.6343826651573181
170,colour,pink,43.0,0.726675808429718
171,dog,poodle,43.0,0.48284387588500977
172,lantern,light,43.0,0.7900944948196411
173,coast,sea,43.0,0.6169619560241699
174,tunnel,underground,43.0,0.799925684928894
175,dog,pets,43.0,0.8112137913703918
176,hair,haircut,43.0,0.6712707281112671
177,day,sunset,43.0,0.6859920620918274
178,bikini,swimsuit,43.0,0.5114051699638367
179,rail,railway,43.0,0.7569667100906372
180,art,museum,43.0,0.6827120780944824
181,painting,portrait,43.0,0.8000123500823975
182,dress,wedding,43.0,0.8227518796920776
