,word1,word2,result,bert_cos
0,sun,sunlight,50.0,0.6842139959335327
1,automobile,car,50.0,0.9999995231628418
2,river,water,49.0,0.7038760185241699
3,stairs,staircase,49.0,0.9999998807907104
4,morning,sunrise,49.0,0.858822762966156
5,rain,storm,49.0,0.7583885788917542
6,cat,kittens,49.0,0.7182384729385376
7,dance,dancers,49.0,1.000000238418579
8,camera,photography,49.0,0.8991609215736389
9,cat,feline,48.0,
10,sunny,sunshine,48.0,
11,pregnancy,pregnant,48.0,0.9999998211860657
12,beach,sand,48.0,0.7874281406402588
13,bakery,bread,48.0,0.8290861248970032
14,flowers,garden,48.0,0.7587257623672485
15,grass,lawn,48.0,0.7058390974998474
16,copper,metal,48.0,0.7293396592140198
17,photos,photography,47.0,0.9033867120742798
18,cemetery,graveyard,47.0,0.9999992847442627
19,gravestone,graveyard,47.0,0.8708615303039551
20,sun,sunshine,47.0,0.6842139959335327
21,black,dark,47.0,0.8828122615814209
22,cathedral,church,47.0,
23,frozen,ice,47.0,
24,station,subway,47.0,
25,children,kids,46.0,
26,aquarium,fish,46.0,0.6383505463600159
27,light,lighting,46.0,0.7858079075813293
28,fungi,mushrooms,46.0,0.8471071720123291
29,frost,snow,46.0,0.8661909103393555
30,burn,flame,46.0,0.7761799693107605
31,ocean,sea,46.0,0.57940673828125
32,candy,chocolate,46.0,0.8642189502716064
33,car,vehicle,46.0,0.875551700592041
34,concert,music,46.0,0.6899512410163879
35,photos,picture,46.0,0.8574046492576599
36,grapes,wine,46.0,0.6624266505241394
37,bath,bathroom,46.0,
38,buds,flowers,46.0,0.8585367202758789
39,cat,kitty,46.0,
40,ocean,water,46.0,0.5508144497871399
41,aircraft,airplane,46.0,0.8562055826187134
42,butterfly,caterpillars,46.0,0.8948241472244263
43,hair,wig,46.0,0.7348415851593018
44,blossom,buds,46.0,0.8559859395027161
45,highway,road,46.0,0.877774715423584
46,bunny,rabbit,46.0,1.0000008344650269
47,bread,sandwich,46.0,0.8323934674263
48,mist,misty,46.0,
49,flowers,petals,46.0,0.7646268606185913
50,airplane,flight,46.0,0.8427594304084778
51,fish,fishing,46.0,0.6258200407028198
52,ice,snow,46.0,0.7329707741737366
53,bright,sun,45.0,
54,shade,tree,45.0,
55,bicycle,bike,45.0,0.9999999403953552
56,truck,vehicle,45.0,0.8625949025154114
57,shore,water,45.0,0.6621032357215881
58,boat,fishing,45.0,0.6665846705436707
59,dog,puppy,45.0,0.6372710466384888
60,bride,wedding,45.0,0.8425729274749756
61,birds,hummingbird,45.0,0.7583134174346924
62,sea,water,45.0,0.7244947552680969
63,cow,milk,45.0,0.6902850270271301
64,birds,feathers,45.0,0.82383131980896
65,skate,skating,45.0,
66,chapel,church,45.0,
67,branch,twigs,45.0,0.6103402972221375
