word1,word2,MEN,cos
sun,sunlight,50.0,0.5381956100463867
automobile,car,50.0,0.6831942200660706
river,water,49.0,0.6306011080741882
stairs,staircase,49.0,0.7832322716712952
morning,sunrise,49.0,0.48694151639938354
rain,storm,49.0,0.6957893371582031
cat,kittens,49.0,0.47594329714775085
dance,dancers,49.0,0.7275092601776123
camera,photography,49.0,0.5886533260345459
cat,feline,48.0,0.4863448441028595
sunny,sunshine,48.0,0.6617125272750854
pregnancy,pregnant,48.0,0.7068700194358826
beach,sand,48.0,0.5469368100166321
bakery,bread,48.0,0.6167382001876831
flowers,garden,48.0,0.5756275057792664
grass,lawn,48.0,0.6548655033111572
copper,metal,48.0,0.6323518753051758
photos,photography,47.0,0.48869699239730835
cemetery,graveyard,47.0,0.6638969779014587
gravestone,graveyard,47.0,0.4861869513988495
sun,sunshine,47.0,0.551347553730011
black,dark,47.0,0.7343377470970154
cathedral,church,47.0,0.7675929665565491
frozen,ice,47.0,0.565530002117157
station,subway,47.0,0.6270011067390442
children,kids,46.0,0.756242573261261
aquarium,fish,46.0,0.5612942576408386
light,lighting,46.0,0.5744954347610474
fungi,mushrooms,46.0,0.4467541575431824
frost,snow,46.0,0.6076803803443909
burn,flame,46.0,0.47319403290748596
ocean,sea,46.0,0.838655948638916
candy,chocolate,46.0,0.7699084281921387
car,vehicle,46.0,0.8630838394165039
concert,music,46.0,0.7467937469482422
photos,picture,46.0,0.60624760389328
grapes,wine,46.0,0.6170541644096375
bath,bathroom,46.0,0.5494371056556702
buds,flowers,46.0,0.5898557305335999
cat,kitty,46.0,0.4526490271091461
ocean,water,46.0,0.6324834823608398
aircraft,airplane,46.0,0.7861483097076416
butterfly,caterpillars,46.0,0.35713040828704834
hair,wig,46.0,0.664909303188324
blossom,buds,46.0,0.578921377658844
highway,road,46.0,0.8092237114906311
bunny,rabbit,46.0,0.7399952411651611
bread,sandwich,46.0,0.6839388608932495
mist,misty,46.0,0.5233902931213379
flowers,petals,46.0,0.7051388025283813
airplane,flight,46.0,0.7339500784873962
fish,fishing,46.0,0.6638888716697693
ice,snow,46.0,0.660791277885437
bright,sun,45.0,0.5570365190505981
shade,tree,45.0,0.565067708492279
bicycle,bike,45.0,0.8968486189842224
truck,vehicle,45.0,0.7879197597503662
shore,water,45.0,0.5101220607757568
boat,fishing,45.0,0.7228102684020996
dog,puppy,45.0,0.723637580871582
bride,wedding,45.0,0.7527256608009338
birds,hummingbird,45.0,0.3009658455848694
sea,water,45.0,0.6566852927207947
cow,milk,45.0,0.6019943952560425
birds,feathers,45.0,0.5693194270133972
skate,skating,45.0,0.7582761645317078
chapel,church,45.0,0.792397677898407
branch,twigs,45.0,0.1533147394657135
concert,musicians,45.0,0.6361961960792542
clothes,dress,45.0,0.7215341329574585
automobile,vehicle,45.0,0.6593921780586243
splash,swimming,45.0,0.35550644993782043
bed,furniture,45.0,0.4321388006210327
aircraft,flight,45.0,0.7004528641700745
reptiles,snake,45.0,0.4364054501056671
motorcycle,scooter,45.0,0.5595495104789734
coffee,tea,45.0,0.7732690572738647
feathers,goose,45.0,0.426849901676178
